finished loading collection after 0.2 sec
finished to_records after 159.5 sec
finished counting results after 196.7 sec
183 / 210 (87.1%) tors ids covered:
t1    4565   [*:1]-[#6X4:2]-[#6X4:3]-[*:4]
t152    73   [#8X1:1]~[#16X4,#16X3+0:2]-[#7X3:3]-[#6X3:4]
t153    25   [#8X1:1]~[#16X4,#16X3+0:2]-[#7X3:3]-[#7X2:4]
t154    72   [*:1]~[#16X4,#16X3+0:2]=,:[#7X2:3]-,:[*:4]
t155     9   [#6X4:1]-[#16X4,#16X3+0:2]-[#7X2:3]~[#6X3:4]
t156    32   [#8X1:1]~[#16X4,#16X3+0:2]-[#7X2:3]~[#6X3:4]
t157x   72   [*:1]~[#16X4:2]-[#8X2:3]-[*:4]
t157a   62   [*:1]~[#16X3+0:2]-[#8X2:3]-[*:4]
t158     5   [*:1]-[#16X2,#16X3+1:2]-[#16X2,#16X3+1:3]-[*:4]
t159   162   [*:1]-[#8X2:2]-[#15:3]~[*:4]
t160    84   [#8X2:1]-[#15:2]-[#8X2:3]-[#6X4:4]
t161   139   [*:1]~[#7:2]-[#15:3]~[*:4]
t162    52   [*:1]-[#7:2]-[#15:3]=[*:4]
t163    16   [#6X3:1]-[#7:2]-[#15:3]=[*:4]
t164    15   [*:1]~[#7:2]=[#15:3]~[*:4]
t165    13   [*:1]-[*:2]#[*:3]-[*:4]
t166   195   [*:1]~[*:2]-[*:3]#[*:4]
t167    41   [*:1]~[*:2]=[#6,#7,#16,#15;X2:3]=[*:4]

missing ids:
    0   t18b   [*:1]-[#6X4:2]-[#6X3:3](~!@[#7X3])~!@[#7X3:4]
    1   t87a   [*:1]-[#7X3:2]~!@[#6X3:3](~!@[#7X3])~!@[#7X3:4]
    2  t116b   [*:1]-[#16X3+1:2]-[#6X3:3]-[#1:4]
    3  t116c   [*:1]-[#16X3+1:2]-[#6X4:3]-[#1:4]
    4  t122a   [#6X2:1]-[#16X4:2]-[#6X3:3]~[*:4]
    5  t122b   [#6X3:1]-[#16X4:2]-[#6X3:3]~[*:4]
    6  t122c   [#6X4:1]-[#16X4:2]-[#6X3:3]~[*:4]
    7  t122d   [#6X2:1]-[#16X3+0:2]-[#6X3:3]~[*:4]
    8  t122e   [#6X3:1]-[#16X3+0:2]-[#6X3:3]~[*:4]
    9  t122f   [#6X4:1]-[#16X3+0:2]-[#6X3:3]~[*:4]
   10   t123   [*:1]~[#15:2]-[#6:3]-[*:4]
   11  t130b   [*:1]-[#7X3:2]-[#7X3:3]-[*:4]
   12  t132b   [#6X4:1]-[#7X3:2]-[#7X3:3]-[#1:4]
   13  t133x   [#6X4:1]-[#7X4:2]-[#7X4:3]-[#6X4:4]
   14  t138a   [*:1]~[#7X2:2]-[#7X4:3]~[*:4]
   15  t142a   [*:1]-[#16X2:2]-[!#6;X2:3]~[*:4]
   16  t142b   [*:1]-[#16X2:2]-[!#6;X3:3]~[*:4]
   17  t142c   [*:1]-[#16X2:2]-[!#6;X4:3]~[*:4]
   18  t142d   [*:1]-[#16X3+1:2]-[!#6;X2:3]~[*:4]
   19  t142e   [*:1]-[#16X3+1:2]-[!#6;X3:3]~[*:4]
   20  t142f   [*:1]-[#16X3+1:2]-[!#6;X4:3]~[*:4]
   21  t143a   [*:1]~[#16X4:2]-[#7X2:3]~[*:4]
   22  t143b   [*:1]~[#16X4:2]-[#7X3:3]~[*:4]
   23  t143c   [*:1]~[#16X4:2]-[#7X4:3]~[*:4]
   24  t143d   [*:1]~[#16X3+0:2]-[#7X2:3]~[*:4]
   25  t143e   [*:1]~[#16X3+0:2]-[#7X3:3]~[*:4]
   26  t143f   [*:1]~[#16X3+0:2]-[#7X4:3]~[*:4]
finished after 196.8 sec
